Symbol,MyID,Name,IsETF
CDXS,1221,Codexis Inc.,0
CE,1223,Celanese Corp - Series A,0
CEI,1231,Camber Energy Inc,0
CEQP,1245,Crestwood Equity Partners LP - Unit,0
CERS,1249,Cerus Corp.,0
CF,1260,CF Industries Holdings Inc,0
CFG,1271,Citizens Financial Group Inc,0
CGEN,16472,Compugen Ltd,0
CHD,1297,"Church & Dwight Co., Inc.",0
CHRS,1326,Coherus Biosciences Inc,0
CHRW,1327,"C.H. Robinson Worldwide, Inc.",0
CHTR,1337,Charter Communications Inc. - Class A,0
CI,1344,Cigna Group (The),0
CINF,1362,Cincinnati Financial Corp.,0
CL,1382,Colgate-Palmolive Co.,0
CLF,1397,Cleveland-Cliffs Inc,0
CLLS,1404,Cellectis - ADR,0
CLX,1432,Clorox Co.,0
CMA,1436,"Comerica, Inc.",0
CMCSA,1442,Comcast Corp - Class A,0
CME,1446,CME Group Inc - Class A,0
CMG,1449,Chipotle Mexican Grill,0
CMI,1450,Cummins Inc.,0
CMS,1461,CMS Energy Corporation,0
CNC,1471,Centene Corp.,0
CNP,1489,Centerpoint Energy Inc.,0
CNX,1497,CNX Resources Corp,0
COF,1509,Capital One Financial Corp.,0
COGT,15733,Cogent Biosciences Inc,0
COO,1532,"Cooper Companies, Inc.",0
COP,1534,Conoco Phillips,0
COST,1545,Costco Wholesale Corp,0
CPB,1563,Campbell Soup Co.,0
CPE,1564,Callon Petroleum Co.,0
CPK,1573,Chesapeake Utilities Corp,0
CPRT,1578,"Copart, Inc.",0
CPT,1585,Camden Property Trust,0
CRK,1611,"Comstock Resources, Inc.",0
CRL,1612,Charles River Laboratories International Inc.,0
CRM,1613,Salesforce Inc,0
CRNX,10566,Crinetics Pharmaceuticals Inc,0
CRSP,1623,CRISPR Therapeutics AG,0
CRT,1624,Cross Timbers Royalty Trust,0
CSCO,1640,"Cisco Systems, Inc.",0
CSGP,1645,"Costar Group, Inc.",0
CSX,1667,CSX Corp.,0
CTAS,1669,Cintas Corporation,0
CTLT,1679,Catalent Inc.,0
CTMX,1680,CytomX Therapeutics Inc,0
CTRA,19499,Coterra Energy Inc,0
CTSH,1690,Cognizant Technology Solutions Corp. - Class A,0
CVM,1735,Cel-Sci Corp.,0
CVS,1742,CVS Health Corp,0
CVX,1746,Chevron Corp.,0
CYTK,1787,Cytokinetics Inc,0
CZR,1794,Caesars Entertainment Inc,0
D,1797,Dominion Energy Inc,0
DAL,1802,"Delta Air Lines, Inc.",0
DCPH,9399,Deciphera Pharmaceuticals Inc,0
DD,11588,DuPont de Nemours Inc,0
DDD,1855,3D Systems Corp.,0
DE,1870,Deere & Co.,0
DFS,1905,Discover Financial Services,0
DG,1911,Dollar General Corp.,0
DGRO,1924,BlackRock Institutional Trust Company N.A. - iShares Core Dividend Growth ETF,0
DGX,1930,"Quest Diagnostics, Inc.",0
DHI,1935,D.R. Horton Inc.,0
DHR,1937,Danaher Corp.,0
DIA,1944,SSgA Active Trust - SPDR Dow Jones Industrial Average ETF,0
DIS,1951,Walt Disney Co (The),0
DISH,1955,Dish Network Corp - Class A,0
DLR,1980,Digital Realty Trust Inc,0
DLTR,1986,Dollar Tree Inc,0
DNLI,9739,Denali Therapeutics Inc,0
DOCU,10288,DocuSign Inc,0
DOV,2015,Dover Corp.,0
DPZ,2024,Dominos Pizza Inc,0
DRI,2032,"Darden Restaurants, Inc.",0
DTE,2069,DTE Energy Co.,0
DUK,2088,Duke Energy Corp.,0
DVA,2094,DaVita Inc,0
DVN,2101,Devon Energy Corp.,0
DVY,2103,BlackRock Institutional Trust Company N.A. - iShares Select Dividend ETF,0
DXC,2125,DXC Technology Co,0
DXCM,2126,Dexcom Inc,0
EA,2157,"Electronic Arts, Inc.",0
EBAY,2171,EBay Inc.,0
EBS,2180,Emergent Biosolutions Inc,0
ECL,2192,"Ecolab, Inc.",0
ED,2201,"Consolidated Edison, Inc.",0
EDIT,2211,Editas Medicine Inc,0
EEM,2228,BlackRock Institutional Trust Company N.A. - iShares MSCI Emerging Markets ETF,0
EFA,2240,BlackRock Institutional Trust Company N.A. - iShares MSCI EAFE ETF,0
EFV,2257,BlackRock Institutional Trust Company N.A. - iShares MSCI EAFE Value ETF,0
EFX,2258,"Equifax, Inc.",0
EGRX,2275,Eagle Pharmaceuticals Inc,0
EGY,2277,"VAALCO Energy, Inc.",0
EIGR,2286,Eiger BioPharmaceuticals Inc,0
EIX,2293,Edison International,0
EL,2295,"Estee Lauder Cos., Inc. - Class A",0
EMB,2319,BlackRock Institutional Trust Company N.A. - iShares J.P. Morgan USD Emerging Markets Bond ETF,0
EMN,2346,Eastman Chemical Co,0
EMR,2350,Emerson Electric Co.,0
ENPH,2371,Enphase Energy Inc,0
ENTA,2378,Enanta Pharmaceuticals Inc,0
EOG,2390,"EOG Resources, Inc.",0
EPAM,2394,EPAM Systems Inc,0
EPM,2403,Evolution Petroleum Corporation,0
EQIX,2422,Equinix Inc,0
EQR,2426,Equity Residential Properties Trust,0
EQT,2428,EQT Corp,0
ES,2451,Eversource Energy,0
ESGU,2467,iShares Trust - iShares Trust iShares ESG Aware MSCI USA ETF,0
ESLT,16477,Elbit Systems Ltd.,0
ESPR,2476,Esperion Therapeutics Inc.,0
ESS,2479,"Essex Property Trust, Inc.",0
ESTE,2481,Earthstone Energy Inc - Class A,0
ETN,2492,Eaton Corporation plc,0
ETR,2495,Entergy Corp.,0
ETSY,2497,Etsy Inc,0
EVRG,10412,Evergy Inc,0
EW,2551,Edwards Lifesciences Corp,0
EXAS,2585,Exact Sciences Corp.,0
EXC,2586,Exelon Corp.,0
EXEL,2589,Exelixis Inc,0
EXPD,2596,"Expeditors International Of Washington, Inc.",0
EXPE,2597,Expedia Group Inc,0
EXR,2600,Extra Space Storage Inc.,0
F,2617,Ford Motor Co.,0
FANG,2627,Diamondback Energy Inc,0
FAST,2632,Fastenal Co.,0
FATE,2633,Fate Therapeutics Inc,0
FCX,2684,Freeport-McMoRan Inc,0
FDS,2698,Factset Research Systems Inc.,0
FDX,2703,Fedex Corp,0
